City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
137,Nouakchott,MR,82.33,broken clouds,18.0858,-15.9785,HOTEL IMAN
143,Hithadhoo,MV,82.58,overcast clouds,-0.6,73.0833,Scoop Guest House
146,Narasannapeta,IN,84.51,overcast clouds,18.4167,84.05,AVK events and catering
152,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
153,Saint George,US,75.94,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
156,Bambous Virieux,MU,77.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
157,Honiara,SB,86.14,broken clouds,-9.4333,159.95,Heritage Park Hotel
158,Peraiyur,IN,85.64,overcast clouds,9.7358,77.7896,CRESCENT LODGE
159,Acarau,BR,77.02,broken clouds,-2.8856,-40.12,castelo pizzaria
160,Xuddur,SO,76.87,broken clouds,4.1213,43.8894,Banjanay Hotel
161,Douentza,ML,84.02,clear sky,14.9951,-2.9517,Ogomono Doumbo
162,Kavieng,PG,84.81,broken clouds,-2.5744,150.7967,Nusa Island Retreat
163,Boa Vista,BR,78.78,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
164,Arlit,NE,87.01,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
167,Hilo,US,80.33,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
175,Lethem,GY,76.39,broken clouds,3.3803,-59.7968,Savannah Inn
177,Shinpokh,PK,86.34,clear sky,34.3292,71.1782,
182,Hirara,JP,86.27,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
183,Mansa,IN,86.61,clear sky,29.9833,75.3833,STARiHOTEL Mansa
185,Auki,SB,84.92,few clouds,-8.7676,160.7034,Auki Motel
187,Maumere,ID,85.28,overcast clouds,-8.6199,122.2111,Sylvia Hotel
189,Port Augusta,AU,80.62,few clouds,-32.5,137.7667,Majestic Oasis Apartments
192,Olinda,BR,76.73,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
195,Morondava,MG,76.73,clear sky,-20.2833,44.2833,La Case Bambou
196,Nakamura,JP,76.19,broken clouds,32.9833,132.9333,Hotel Crown Hills Nakamura
200,Tubuala,PA,80.2,overcast clouds,9.5167,-79.0333,
